SBS - nummer;SBS - beschijving;Genriek SBS nummer
137;CO-Meetsysteem, zichtmeting, temperatuurmeting;72
137;CO-Meetsysteem, zichtmeting, temperatuurmeting;32
137;CO-Meetsysteem, zichtmeting, temperatuurmeting;29
140;Verkeersysteem;36
141;Verkeersignalering;24
142;Verkeersdetectie;37
143;Hoogtedetectie;38
145;Verkeersregelinstallatie;36
148;Bijzondere borden;49
150;Algemene brandblusinstallatie;56
152;Brandmeldinstallatie;58
160;Communicatiesysteem;63
160;Communicatiesysteem;64
161;Video- en TV installatie;61
162;HF-installatie;62
163;Luidsprekerinstallatie;69
164;Intercominstallatie;63
165;Telefooninstallatie;65
180;Besturingssysteem Brandmeldcentrale;58
182;Lokale besturingssysteem;83
184;Centraal bedienings- en besturingssysteem;83
185;Transmissiesysteem;85
186;Noodbediening;84
194;Vluchtwegen en routes;1042
